Circuit delay: 2364.17 ps

Gate slacks:
NAND-n639: 2600.59 ps
INPUT-n640: 2045.98 ps
NAND-n641: 2600.59 ps
INPUT-n642: 2055.69 ps
NAND-n643: 2600.59 ps
INPUT-n644: 2043.13 ps
NAND-n645: 2600.59 ps
INPUT-n646: 2088.16 ps
NAND-n647: 2600.59 ps
INPUT-n648: 1783.95 ps
NAND-n649: 2600.59 ps
INPUT-n650: 1771.52 ps
NAND-n651: 2600.59 ps
INPUT-n652: 2557.66 ps
NAND-n653: 2600.59 ps
INPUT-n654: 2360.32 ps
NAND-n655: 2600.59 ps
INPUT-n656: 2354.72 ps
NAND-n657: 2600.59 ps
INPUT-n658: 2214.25 ps
NAND-n659: 2600.59 ps
INPUT-n660: 2209.09 ps
NAND-n661: 2600.59 ps
INPUT-n662: 2115.74 ps
NAND-n663: 2600.59 ps
INPUT-n664: 2020.49 ps
NAND-n665: 2600.59 ps
INPUT-n666: 1923.74 ps
NAND-n667: 2600.59 ps
INPUT-n668: 1870.04 ps
NAND-n669: 2600.59 ps
INPUT-n670: 1766.76 ps
NAND-n671: 2600.59 ps
INPUT-n672: 1638.52 ps
NAND-n673: 2600.59 ps
INPUT-n674: 1568.28 ps
NAND-n675: 2600.59 ps
INPUT-n676: 1473.41 ps
NAND-n677: 2600.59 ps
INPUT-n678: 1369.74 ps
NAND-n679: 2600.59 ps
INPUT-n680: 1274.37 ps
NAND-n681: 2600.59 ps
INPUT-n682: 1184.99 ps
NAND-n683: 2600.59 ps
INPUT-n684: 1090.00 ps
NAND-n685: 2600.59 ps
INPUT-n686: 973.82 ps
NAND-n687: 2600.59 ps
INPUT-n688: 830.42 ps
NAND-n689: 2600.59 ps
INPUT-n690: 833.65 ps
NAND-n691: 2600.59 ps
INPUT-n692: 688.49 ps
NAND-n693: 2600.59 ps
INPUT-n694: 688.49 ps
NAND-n695: 2600.59 ps
INPUT-n696: 628.04 ps
NAND-n697: 2600.59 ps
INPUT-n698: 586.00 ps
NAND-n699: 2600.59 ps
INPUT-n700: 559.64 ps
NAND-n701: 2600.59 ps
INPUT-n702: 506.94 ps
NAND-n703: 2600.59 ps
INPUT-n704: 473.47 ps
NAND-n705: 2600.59 ps
INPUT-n706: 416.74 ps
NAND-n707: 2600.59 ps
INPUT-n708: 363.07 ps
NAND-n709: 2600.59 ps
INPUT-n710: 308.73 ps
NAND-n711: 2600.59 ps
INPUT-n712: 257.69 ps
NAND-n713: 2600.59 ps
INPUT-n714: 203.36 ps
NAND-n715: 2600.59 ps
INPUT-n716: 158.39 ps
NAND-n717: 2600.59 ps
INPUT-n718: 64.72 ps
NAND-n719: 2600.59 ps
INPUT-n720: 22.67 ps
NAND-n721: 2600.59 ps
INPUT-n722: -54.97 ps
NAND-n723: 2600.59 ps
INPUT-n724: -54.97 ps
NAND-n725: 2600.59 ps
INPUT-n726: -95.97 ps
NAND-n727: 2600.59 ps
INPUT-n728: -145.94 ps
NAND-n729: 2600.59 ps
INPUT-n730: -172.28 ps
NAND-n731: 2600.59 ps
INPUT-n732: -209.37 ps
NAND-n733: 2600.59 ps
INPUT-n734: -261.03 ps
NAND-n735: 2600.59 ps
INPUT-n736: -276.89 ps
NAND-n737: 2600.59 ps
INPUT-n738: -289.08 ps
NAND-n739: 2600.59 ps
INPUT-n740: -282.69 ps
NAND-n741: 2600.59 ps
INPUT-n742: -307.05 ps
NAND-n743: 2600.59 ps
INPUT-n744: -339.12 ps
NAND-n745: 2600.59 ps
INPUT-n746: -327.37 ps
NAND-n747: 2600.59 ps
INPUT-n748: -342.06 ps
NAND-n749: 2600.59 ps
INPUT-n750: -361.64 ps
NAND-n751: 2600.59 ps
INPUT-n752: -355.81 ps
NAND-n753: 2600.59 ps
INPUT-n754: 324.76 ps
NAND-n755: 2600.59 ps
INPUT-n756: 1674.60 ps
NAND-n757: 2600.59 ps
INPUT-n758: 1524.59 ps
NAND-n759: 2600.59 ps
INPUT-n760: 1933.25 ps
NAND-n761: 2600.59 ps
INPUT-n762: 1190.24 ps
NAND-n763: 2600.59 ps
INPUT-n764: 1636.04 ps
NAND-n765: 2600.59 ps
INPUT-n766: 1526.16 ps
NAND-n767: 2600.59 ps
INPUT-n768: 1375.99 ps
NAND-n769: 2600.59 ps
INPUT-n770: 1784.64 ps
NAND-n771: 2600.59 ps
INPUT-n772: 1450.29 ps
NAND-n773: 2600.59 ps
INPUT-n774: 1710.34 ps
NAND-n775: 2600.59 ps
INPUT-n776: 1542.41 ps
NAND-n777: 2600.59 ps
INPUT-n778: 1301.69 ps
NAND-n779: 2600.59 ps
INPUT-n780: 1116.18 ps
NAND-n781: 2600.59 ps
INPUT-n782: 1858.94 ps
NAND-n783: 2600.59 ps
INPUT-n784: 1598.89 ps
NAND-n785: 2600.59 ps
INPUT-n786: 1153.09 ps
NAND-n787: 2600.59 ps
INPUT-n788: 1561.74 ps
NAND-n789: 2600.59 ps
INPUT-n790: 1896.09 ps
NAND-n791: 2600.59 ps
INPUT-n792: 1413.14 ps
NAND-n793: 2600.59 ps
INPUT-n794: 1747.49 ps
NAND-n795: 2600.59 ps
INPUT-n796: 1540.48 ps
NAND-n797: 2600.59 ps
INPUT-n798: 1264.54 ps
NAND-n799: 2600.59 ps
INPUT-n800: 1994.05 ps
NAND-n801: 2600.59 ps
INPUT-n802: 1673.19 ps
NAND-n803: 2600.59 ps
INPUT-n804: 1116.18 ps
NAND-n805: 2600.59 ps
INPUT-n806: 1338.84 ps
NAND-n807: 2600.59 ps
INPUT-n808: 1821.79 ps
NAND-n809: 2600.59 ps
INPUT-n810: 1487.44 ps
NAND-n811: 2600.59 ps
INPUT-n812: 1973.61 ps
NAND-n813: 2600.59 ps
INPUT-n814: 1227.39 ps
NAND-n815: 2600.59 ps
INPUT-n816: 1997.97 ps
NOT-n817: 2600.59 ps
INPUT-n818: 1980.33 ps
NAND-n819: 2600.59 ps
INPUT-n820: 809.63 ps
NOT-n821: 2600.59 ps
INPUT-n822: 801.71 ps
NAND-n823: 2600.59 ps
INPUT-n824: 801.71 ps
NAND-n825: 2600.59 ps
INPUT-n826: 801.71 ps
NAND-n827: 2600.59 ps
INPUT-n828: 801.71 ps
NAND-n829: 2600.59 ps
INPUT-n830: 801.71 ps
NAND-n831: 2600.59 ps
INPUT-n832: 801.71 ps
NAND-n833: 2600.59 ps
INPUT-n834: 801.71 ps
NAND-n835: 2600.59 ps
INPUT-n836: 801.71 ps
NAND-n837: 2600.59 ps
INPUT-n838: 801.71 ps
NAND-n839: 2600.59 ps
INPUT-n840: 801.71 ps
NAND-n841: 2600.59 ps
INPUT-n842: 801.71 ps
NAND-n843: 2600.59 ps
INPUT-n844: 801.71 ps
NAND-n845: 2600.59 ps
INPUT-n846: 801.71 ps
NAND-n847: 2600.59 ps
INPUT-n848: 801.71 ps
NAND-n849: 2600.59 ps
INPUT-n850: 801.71 ps
NAND-n851: 2600.59 ps
